num,coordinate
27,"0.034*""cream"" + 0.022*""hug"" + 0.022*""combo"" + 0.020*""perhap"" + 0.019*""must"" + 0.018*""substanti"" + 0.018*""solid"" + 0.017*""attach"" + 0.016*""embroid"" + 0.016*""bodi"""
28,"0.050*""everyday"" + 0.039*""thigh"" + 0.033*""sexi"" + 0.029*""price"" + 0.028*""worth"" + 0.027*""flirti"" + 0.020*""catch"" + 0.019*""concept"" + 0.018*""struggl"" + 0.018*""fast"""
29,"0.023*""gotten"" + 0.016*""natur"" + 0.015*""kept"" + 0.014*""unless"" + 0.013*""looser"" + 0.013*""pricey"" + 0.012*""snug"" + 0.011*""size"" + 0.011*""review"" + 0.010*""small"""
30,"0.045*""cashmer"" + 0.042*""135"" + 0.036*""alter"" + 0.035*""realiz"" + 0.034*""measur"" + 0.033*""34b"" + 0.028*""accur"" + 0.028*""120lb"" + 0.026*""refer"" + 0.026*""sell"""
31,"0.036*""wait"" + 0.035*""relax"" + 0.034*""broad"" + 0.030*""ca"" + 0.027*""shoulder"" + 0.023*""gener"" + 0.020*""narrow"" + 0.016*""paid"" + 0.016*""n't"" + 0.016*""blous"""
32,"0.061*""chang"" + 0.048*""moss"" + 0.047*""throughout"" + 0.032*""boy"" + 0.031*""write"" + 0.025*""gal"" + 0.020*""ps"" + 0.019*""warn"" + 0.019*""hors"" + 0.014*""variou"""
33,"0.056*""holiday"" + 0.055*""stand"" + 0.045*""rip"" + 0.043*""coverag"" + 0.042*""hour"" + 0.038*""parti"" + 0.035*""minut"" + 0.030*""provid"" + 0.030*""happen"" + 0.029*""finish"""
34,"0.087*""t-shirt"" + 0.044*""terribl"" + 0.042*""product"" + 0.039*""becom"" + 0.037*""poor"" + 0.029*""practic"" + 0.023*""function"" + 0.021*""qualiti"" + 0.020*""grab"" + 0.015*""minim"""
35,"0.025*""match"" + 0.025*""night"" + 0.023*""shoe"" + 0.022*""aw"" + 0.021*""date"" + 0.017*""wearabl"" + 0.015*""dress"" + 0.013*""center"" + 0.013*""wash."" + 0.012*""seam"""
36,"0.044*""taller"" + 0.039*""overwhelm"" + 0.037*""cheap"" + 0.035*""attract"" + 0.032*""expens"" + 0.027*""thank"" + 0.027*""travel"" + 0.026*""initi"" + 0.025*""impress"" + 0.025*""proport"""
37,"0.055*""silk"" + 0.052*""pick"" + 0.030*""25"" + 0.028*""v-neck"" + 0.028*""tag"" + 0.028*""sag"" + 0.027*""beyond"" + 0.026*""downsid"" + 0.025*""support"" + 0.018*""24"""
38,"0.027*""rise"" + 0.021*""tend"" + 0.020*""heavier"" + 0.019*""s/m"" + 0.017*""despit"" + 0.012*""horribl"" + 0.011*""jean"" + 0.010*""like"" + 0.009*""'s"" + 0.008*""somehow"""
39,"0.064*""hesit"" + 0.048*""pass"" + 0.047*""sometim"" + 0.043*""ridicul"" + 0.033*""timeless"" + 0.030*""agre"" + 0.022*""pad"" + 0.019*""easier"" + 0.018*""glad"" + 0.017*""foot"""
40,"0.052*""girl"" + 0.038*""cover"" + 0.024*""exactli"" + 0.024*""effect"" + 0.023*""swimsuit"" + 0.019*""third"" + 0.019*""durabl"" + 0.016*""eas"" + 0.014*""16"" + 0.014*""split"""
41,"0.053*""collar"" + 0.052*""wonder"" + 0.039*""drawstr"" + 0.037*""surprisingli"" + 0.024*""assum"" + 0.023*""stuck"" + 0.022*""ribbon"" + 0.022*""xsmall"" + 0.020*""enhanc"" + 0.019*""term"""
42,"0.075*""new"" + 0.070*""favorit"" + 0.063*""stapl"" + 0.047*""tini"" + 0.042*""chic"" + 0.042*""booti"" + 0.030*""panel"" + 0.029*""describ"" + 0.023*""boyfriend"" + 0.023*""bulk"""
43,"0.050*""compliment"" + 0.034*""mani"" + 0.030*""dressi"" + 0.024*""wore"" + 0.024*""receiv"" + 0.023*""dress"" + 0.021*""special"" + 0.018*""lot"" + 0.017*""sever"" + 0.017*""occas"""
44,"0.074*""wardrob"" + 0.050*""addit"" + 0.047*""simpl"" + 0.036*""tell"" + 0.034*""hand"" + 0.033*""odd"" + 0.029*""fade"" + 0.029*""interest"" + 0.026*""simpli"" + 0.025*""peplum"""
45,"0.040*""27"" + 0.038*""28"" + 0.038*""26"" + 0.028*""errand"" + 0.025*""mean"" + 0.023*""leg"" + 0.019*""teal"" + 0.018*""jean"" + 0.017*""39"" + 0.016*""itch"""
