Num of Topics,CV Error
5,0.1776
10,0.1776
15,0.1776
20,0.1777
25,0.1780
30,0.1778
35,0.1778
40,0.1797
45,0.1779
50,0.1775
55,0.1778
60,0.1793
65,0.1784
70,0.1777
75,0.1784
80,0.1782
85,0.1769
90,0.1766
95,0.1770
100,0.1783
