num,coordinate
28,"-0.232*""short"" + -0.217*""medium"" + 0.214*""perfect"" + 0.203*""xs"" + -0.194*""comfort"" + -0.189*""long"" + 0.181*""jacket"" + -0.165*""leg"" + -0.164*""wait"" + -0.163*""ca"""
29,"-0.304*""well"" + 0.265*""recommend"" + 0.208*""small"" + 0.198*""jacket"" + -0.191*""perfect"" + 0.181*""highli"" + -0.175*""made"" + -0.175*""great"" + 0.174*""qualiti"" + -0.156*""larg"""
30,"-0.304*""blous"" + -0.277*""pretti"" + 0.273*""materi"" + -0.233*""realli"" + -0.218*""perfect"" + -0.188*""flatter"" + -0.167*""'s"" + 0.166*""soft"" + 0.162*""beauti"" + -0.146*""comfort"""
31,"-0.361*""blous"" + 0.265*""color"" + 0.247*""realli"" + 0.198*""jacket"" + -0.190*""back"" + 0.185*""style"" + -0.177*""comfort"" + -0.170*""larg"" + 0.148*""short"" + -0.147*""look"""
32,"-0.236*""nice"" + -0.233*""larg"" + 0.229*""materi"" + 0.229*""littl"" + 0.227*""small"" + -0.223*""fabric"" + -0.205*""'s"" + 0.200*""perfect"" + 0.199*""pretti"" + 0.197*""got"""
33,"-0.231*""comfort"" + 0.222*""comfi"" + 0.178*""nice"" + -0.168*""jacket"" + -0.166*""flatter"" + 0.154*""feel"" + 0.151*""small"" + 0.150*""recommend"" + -0.149*""order"" + 0.148*""short"""
34,"0.289*""beauti"" + -0.269*""materi"" + 0.264*""recommend"" + -0.214*""flatter"" + 0.209*""littl"" + -0.197*""pretti"" + 0.184*""highli"" + 0.184*""good"" + 0.168*""fabric"" + -0.167*""pant"""
35,"-0.278*""wash"" + -0.240*""short"" + 0.188*""larg"" + 0.178*""realli"" + -0.178*""blous"" + 0.176*""good"" + 0.169*""black"" + -0.165*""summer"" + 0.159*""flatter"" + 0.151*""ca"""
36,"-0.338*""materi"" + -0.286*""back"" + -0.267*""short"" + 0.229*""sleev"" + 0.198*""xs"" + 0.178*""fabric"" + 0.170*""arm"" + 0.164*""super"" + -0.163*""go"" + 0.158*""qualiti"""
37,"-0.361*""short"" + 0.260*""sleev"" + -0.214*""work"" + 0.196*""order"" + 0.181*""long"" + -0.171*""qualiti"" + 0.154*""recommend"" + -0.153*""jacket"" + -0.153*""run"" + 0.147*""realli"""
38,"0.281*""small"" + 0.234*""fabric"" + -0.230*""blous"" + -0.188*""larg"" + -0.177*""purchas"" + 0.177*""true"" + -0.161*""materi"" + 0.155*""tank"" + -0.153*""tight"" + 0.149*""flatter"""
39,"0.320*""flatter"" + -0.232*""soft"" + -0.211*""price"" + 0.204*""materi"" + -0.191*""sale"" + -0.186*""pretti"" + -0.186*""back"" + -0.178*""work"" + -0.175*""fabric"" + 0.151*""'s"""
40,"0.267*""realli"" + 0.234*""beauti"" + -0.222*""littl"" + -0.214*""leg"" + 0.181*""pant"" + 0.168*""jacket"" + 0.159*""larg"" + -0.146*""big"" + 0.145*""'s"" + 0.145*""got"""
41,"-0.233*""feel"" + 0.232*""wash"" + -0.184*""like"" + 0.181*""arm"" + -0.176*""comfi"" + 0.173*""ca"" + 0.173*""flatter"" + 0.160*""nice"" + -0.158*""style"" + 0.158*""n't"""
42,"0.289*""pretti"" + -0.195*""beauti"" + 0.185*""qualiti"" + 0.179*""recommend"" + 0.176*""order"" + -0.176*""way"" + 0.174*""littl"" + -0.173*""big"" + 0.173*""larg"" + 0.171*""wash"""
43,"-0.285*""leg"" + 0.244*""style"" + 0.225*""blous"" + -0.183*""good"" + -0.160*""'s"" + -0.157*""tight"" + 0.154*""''"" + 0.154*""wash"" + 0.152*""n't"" + 0.142*""ca"""
44,"0.322*""work"" + -0.215*""purchas"" + -0.202*""realli"" + 0.195*""materi"" + -0.185*""xs"" + 0.181*""petit"" + -0.162*""leg"" + -0.150*""big"" + -0.147*""fabric"" + 0.145*""small"""
45,"-0.258*""work"" + 0.187*""price"" + 0.179*""blous"" + -0.174*""wash"" + 0.161*""short"" + -0.160*""soft"" + 0.149*""bought"" + -0.143*""tri"" + 0.140*""get"" + -0.138*""black"""
46,"-0.263*""pretti"" + -0.230*""realli"" + 0.226*""white"" + 0.209*""'s"" + 0.193*""fabric"" + -0.191*""color"" + 0.183*""littl"" + 0.180*""love"" + 0.172*""style"" + -0.161*""purchas"""
